darija,eng,eng_ChatGPT,eng_Claude
"homa mkhbbyin chi haja, ana mti99en!","They're hiding something, I'm sure!","They're hiding something, I'm sure!","They're definitely hiding something, I'm sure!"
bayna homa tay7awlo ib9aw mbrrdin.,It's obvious they're trying to keep their cool.,It's obvious they're trying to keep their cool.,It's clear they're trying to stay cool and calm.
loTilat mabaynach fihom mori7in bzzaf.,the hotels don't seem very comfortable.,The hotels don't seem very comfortable.,The hotels don't seem very comfortable.
ghaliban ghayjrriw 3lih mn lkhdma!,he is probably about to be laid off by head office!,They'll probably fire him!,They'll probably get fired from work!
Tab3an rah mkta2eb!,of course he's depressive!,"Of course, he's depressed!",Of course he's frustrated!
tayballia ghanmchi!,I think I'm going to leave!,It seems like I'll go!,I'm totally leaving now!
ara lia dak sac.,hand me that bag.,Give me that bag.,Give me that bag.
ghanmreD!,I'm going to be sick!,I'm going to get sick!,I'll get sick!
knt dima 3arf annaha bghatna nmoutou,I always knew she wanted us dead,I always knew she wanted us to die.,I always knew she wanted us to die
bghit n3ref ch7al b9a lia tlwe9t bach n9ra,I'd like to know how much time I have left to study,I want to know how much time I have left to study.,I want to know how much time I have left to study
"ghaykon 3ndna mti7an, ala hadchi lli 9Sedti","We will have an exam, if that is what you mean","We'll have an exam, if that's what you meant.","We'll have an exam, is that what you meant?"
"ssimana jjaya, nhar lkhmis","Next week, on Thursday","Next week, on Thursday.","Next week, on Thursday"
ghanghTTiw ga3 lmawad tal tlat jjay,We will cover all the material up to next Tuesday,We'll cover all the subjects until next Tuesday.,We'll cover all the topics for the next three days
ewa bda l9raya bkri!,so start studying soon!,Start studying early!,"Come on, start studying early!"
"wakha, ala 3ndi ay as2ila, wach nsifthom lik f email?","Okay, if I have any questions, could I email them to you?","Alright, if I have any questions, should I email them to you?","Okay, I have some questions, should I send them to you by email?"
walakin ghanjawb 3lihom fl aw9at t lkhdma,But I will only answer them during working hours,But I'll answer them during work hours.,But I'll reply during work hours
